Material,Year,SR,EI
Aggregates,2011,-,-
Aluminium,2011,0.2,8.9
Antimony,2011,2.6,5.8
Arsenic,2011,-,-
Baryte,2011,1.7,3.7
Bauxite,2011,0.3,9.5
Bentonite,2011,0.3,5.5
Beryllium,2011,1.3,6.2
Bismuth,2011,-,-
Boron,2011,0.6,5
Cadmium,2011,-,-
Chromium,2011,0.8,9.9
Cobalt,2011,1.1,7.2
Coking coal,2011,-,-
Copper,2011,0.2,5.7
Diatomite,2011,0.3,3.7
Feldspar,2011,0.2,5.2
Fluorspar,2011,1.6,7.5
Gallium,2011,2.5,6.5
Germanium,2011,2.7,6.3
Gold,2011,-,-
Gypsum,2011,0.4,5
Hafnium,2011,-,-
Helium,2011,-,-
HREEs,2011,4.9,5.8
Hydrogen,2011,-,-
Indium,2011,2,6.7
Iron ore,2011,0.4,8.1
Kaolin clay,2011,0.3,4.4
Krypton,2011,-,-
Lead,2011,-,-
Limestone,2011,0.7,6
Lithium,2011,0.7,5.6
LREEs,2011,4.9,5.8
Magnesite,2011,0.9,8.9
Magnesium,2011,2.6,6.5
Manganese,2011,0.5,9.8
Molybdenum,2011,0.5,8.9
Natural cork,2011,-,-
Natural graphite,2011,1.3,8.7
Natural Rubber,2011,-,-
"Natural Teak
wood",2011,-,-
Neon,2011,-,-
Nickel,2011,0.3,9.5
Niobium,2011,2.8,9
Perlite,2011,0.3,4.2
PGMs,2011,3.6,6.7
Phosphate rock,2011,-,-
Phosphorus,2011,-,-
Potash,2011,-,-
Rhenium,2011,0.8,7.7
Roundwood,2011,-,-
Sapele wood,2011,-,-
Scandium,2011,4.9,5.8
Selenium,2011,-,-
Silica sand,2011,0.2,5.8
Silicon metal,2011,-,-
Silver,2011,0.3,5.1
Strontium,2011,-,-
Sulphur,2011,-,-
Talc,2011,0.3,4
Tantalum,2011,1.1,7.4
Tellurium,2011,0.6,7.9
Tin,2011,-,-
Titanium,2011,0.1,5.4
Titanium metal,2011,-,-
Tungsten,2011,1.8,8.8
Vanadium,2011,0.7,9.7
Xenon,2011,-,-
Zinc,2011,0.4,9.4
Zirconium,2011,-,-
Aggregates,2014,-,-
Aluminium,2014,0.4,7.6
Antimony,2014,2.5,7.1
Arsenic,2014,-,-
Baryte,2014,1.7,2.8
Bauxite,2014,0.6,8.6
Bentonite,2014,0.4,4.6
Beryllium,2014,1.5,6.7
Bismuth,2014,-,-
Boron,2014,1,5.7
Cadmium,2014,-,-
Chromium,2014,1,8.9
Cobalt,2014,1.6,6.7
Coking coal,2014,1.2,9
Copper,2014,0.2,5.8
Diatomite,2014,0.2,3
Feldspar,2014,0.4,4.8
Fluorspar,2014,1.7,7.2
Gallium,2014,1.8,6.3
Germanium,2014,1.9,5.5
Gold,2014,0.2,3.8
Gypsum,2014,0.5,5.5
Hafnium,2014,0.4,7.8
Helium,2014,-,-
HREEs,2014,4.7,5.4
Hydrogen,2014,-,-
Indium,2014,1.8,5.6
Iron ore,2014,0.5,7.4
Kaolin clay,2014,0.3,4.8
Krypton,2014,-,-
Lead,2014,-,-
Limestone,2014,0.4,5.8
Lithium,2014,0.6,5.5
LREEs,2014,3.1,5.2
Magnesite,2014,2.2,8.3
Magnesium,2014,2.5,5.5
Manganese,2014,0.4,7.8
Molybdenum,2014,0.9,5.9
Natural cork,2014,-,-
Natural graphite,2014,2.2,7.4
Natural Rubber,2014,0.9,7.7
Natural Teak wood,2014,-,-
Neon,2014,-,-
Nickel,2014,0.2,8.8
Niobium,2014,2.5,5.9
Perlite,2014,0.3,4.6
PGMs,2014,1.2,6.6
Phosphate rock,2014,1.1,5.8
Phosphorus,2014,-,-
Potash,2014,0.2,8.6
Rhenium,2014,0.9,4.5
Roundwood,2014,-,-
Sapele wood,2014,-,-
Scandium,2014,1.1,3.8
Selenium,2014,0.2,6.9
Silica sand,2014,0.3,5.8
Silicon metal,2014,1.6,7.1
Silver,2014,0.7,4.8
Strontium,2014,-,-
Sulphur,2014,-,-
Talc,2014,0.3,5.1
Tantalum,2014,0.6,7.4
Tellurium,2014,0.2,6
Tin,2014,0.9,6.7
Titanium,2014,0.1,5.5
Titanium metal,2014,-,-
Tungsten,2014,2,9.1
Vanadium,2014,0.8,9.1
Xenon,2014,-,-
Zinc,2014,0.5,8.7
Zirconium,2014,-,-
Aggregates,2017,0.2,2.3
Aluminium,2017,0.5,6.5
Antimony,2017,4.3,4.3
Arsenic,2017,-,-
Baryte,2017,1.6,2.9
Bauxite,2017,2,2.6
Bentonite,2017,0.2,2.1
Beryllium,2017,2.4,3.9
Bismuth,2017,3.8,3.6
Boron,2017,3,3.1
Cadmium,2017,-,-
Chromium,2017,0.9,6.8
Cobalt,2017,1.6,5.7
Coking coal,2017,1,2.3
Copper,2017,0.2,4.7
Diatomite,2017,0.3,3.8
Feldspar,2017,0.6,2.4
Fluorspar,2017,1.3,4.2
Gallium,2017,1.4,3.2
Germanium,2017,1.9,3.5
Gold,2017,0.2,2
Gypsum,2017,0.5,2.2
Hafnium,2017,1.3,4.2
Helium,2017,1.6,2.8
HREEs,2017,4.9,3.7
Hydrogen,2017,-,-
Indium,2017,2.4,3.1
Iron ore,2017,0.8,6.2
Kaolin clay,2017,0.5,2.3
Krypton,2017,-,-
Lead,2017,0.1,3.7
Limestone,2017,0.1,2.5
Lithium,2017,1,2.4
LREEs,2017,5,3.6
Magnesite,2017,0.7,3.7
Magnesium,2017,4,7.1
Manganese,2017,0.9,6.1
Molybdenum,2017,0.9,5.2
Natural cork,2017,1.1,1.5
Natural graphite,2017,2.9,2.9
Natural Rubber,2017,1,5.4
"Natural Teak
wood",2017,0.9,2
Neon,2017,-,-
Nickel,2017,0.3,4.8
Niobium,2017,3.1,4.8
Perlite,2017,0.4,2.1
PGMs,2017,2.5,5
Phosphate rock,2017,1,5.1
Phosphorus,2017,4.1,4.4
Potash,2017,0.6,4.8
Rhenium,2017,1,2
Roundwood,2017,-,-
Sapele wood,2017,1.4,1.3
Scandium,2017,2.9,3.7
Selenium,2017,0.4,4.5
Silica sand,2017,0.3,2.6
Silicon metal,2017,1,3.8
Silver,2017,0.5,3.8
Strontium,2017,-,-
Sulphur,2017,0.6,4.6
Talc,2017,0.4,3
Tantalum,2017,1,3.9
Tellurium,2017,0.7,3.4
Tin,2017,0.8,4.4
Titanium,2017,0.3,4.3
Titanium metal,2017,-,-
Tungsten,2017,1.8,7.3
Vanadium,2017,1.6,3.7
Xenon,2017,-,-
Zinc,2017,0.3,4.5
Zirconium,2017,-,-
Aggregates,2020,0.2,2.7
Aluminium,2020,0.6,5.4
Antimony,2020,2,4.8
Arsenic,2020,1.2,2.6
Baryte,2020,1.3,3.3
Bauxite,2020,2.1,2.9
Bentonite,2020,0.5,2.8
Beryllium,2020,2.3,4.2
Bismuth,2020,2.2,4
Boron,2020,3.2,3.5
Cadmium,2020,0.3,4.2
Chromium,2020,0.9,7.3
Cobalt,2020,2.5,5.9
Coking coal,2020,1.2,3
Copper,2020,0.3,5.3
Diatomite,2020,0.5,2.2
Feldspar,2020,0.8,2.8
Fluorspar,2020,1.2,3.3
Gallium,2020,1.3,3.5
Germanium,2020,3.9,3.5
Gold,2020,0.2,2.1
Gypsum,2020,0.5,2.6
Hafnium,2020,1.1,3.9
Helium,2020,1.2,2.6
HREEs,2020,5.6,3.9
Hydrogen,2020,0.4,3.8
Indium,2020,1.8,3.3
Iron ore,2020,0.5,6.8
Kaolin clay,2020,0.4,2.4
Krypton,2020,-,-
Lead,2020,0.1,4
Limestone,2020,0.2,3.5
Lithium,2020,1.6,3.1
LREEs,2020,6,4.3
Magnesite,2020,0.6,3.2
Magnesium,2020,3.9,6.6
Manganese,2020,0.9,6.7
Molybdenum,2020,0.9,6.2
Natural cork,2020,1,1.6
Natural graphite,2020,2.3,3.2
Natural Rubber,2020,1,7.1
"Natural Teak
wood",2020,1.9,2
Neon,2020,-,-
Nickel,2020,0.5,4.9
Niobium,2020,3.9,6
Perlite,2020,0.4,2.3
PGMs,2020,2.4,5.7
Phosphate rock,2020,1.1,5.6
Phosphorus,2020,3.5,5.3
Potash,2020,0.8,5.4
Rhenium,2020,0.5,2
Roundwood,2020,-,-
Sapele wood,2020,2.3,1.4
Scandium,2020,3.1,4.4
Selenium,2020,0.4,4.9
Silica sand,2020,0.4,2.9
Silicon metal,2020,1.2,4.2
Silver,2020,0.7,4.1
Strontium,2020,2.6,3.5
Sulphur,2020,0.3,4.1
Talc,2020,0.4,4
Tantalum,2020,1.4,4
Tellurium,2020,0.5,3.6
Tin,2020,0.9,4.2
Titanium,2020,1.3,4.7
Titanium metal,2020,-,-
Tungsten,2020,1.6,8.1
Vanadium,2020,1.7,4.4
Xenon,2020,-,-
Zinc,2020,0.3,5.4
Zirconium,2020,0.8,3.2
Aggregates,2023,0.2,3.2
Aluminium,2023,1.1,5.5
Antimony,2023,1.8,5.4
Arsenic,2023,1.9,2.9
Baryte,2023,1.3,3.5
Bauxite,2023,-,-
Bentonite,2023,0.4,3.1
Beryllium,2023,1.8,5.4
Bismuth,2023,1.9,5.7
Boron,2023,3.6,3.9
Cadmium,2023,0.2,4.1
Chromium,2023,0.7,7.2
Cobalt,2023,2.8,6.8
Coking coal,2023,1,3.1
Copper,2023,0.1,4
Diatomite,2023,0.3,2.3
Feldspar,2023,1.5,3.2
Fluorspar,2023,1.1,3.8
Gallium,2023,3.9,3.7
Germanium,2023,1.8,3.6
Gold,2023,0.4,2.4
Gypsum,2023,0.6,2.7
Hafnium,2023,1.5,4.3
Helium,2023,1.2,2.9
HREEs,2023,5.1,4.2
Hydrogen,2023,0.5,2.9
Indium,2023,0.6,2.6
Iron ore,2023,0.5,7.2
Kaolin clay,2023,0.8,2.8
Krypton,2023,0.7,3.3
Lead,2023,0.1,4.2
Limestone,2023,0.3,3.6
Lithium,2023,1.9,3.9
LREEs,2023,3.7,5.9
Magnesite,2023,0.6,3.6
Magnesium,2023,4.1,7.4
Manganese,2023,1.2,6.9
Molybdenum,2023,0.8,6.7
Natural cork,2023,0.9,1.7
Natural graphite,2023,1.8,3.4
Natural Rubber,2023,0.9,6
"Natural Teak
wood",2023,1.7,2.4
Neon,2023,0.7,3.1
Nickel,2023,0.5,5.7
Niobium,2023,4.4,6.5
Perlite,2023,0.8,2.5
PGMs,2023,2.7,7.1
Phosphate rock,2023,1,6.4
Phosphorus,2023,3.3,4.7
Potash,2023,0.7,6.2
Rhenium,2023,0.5,2.3
Roundwood,2023,0.1,1.2
Sapele wood,2023,1.3,1.6
Scandium,2023,2.4,3.7
Selenium,2023,0.3,4.8
Silica sand,2023,0.3,3.1
Silicon metal,2023,1.3,4.9
Silver,2023,0.8,4.6
Strontium,2023,2.6,6.5
Sulphur,2023,0.3,5
Talc,2023,0.2,3.3
Tantalum,2023,1.3,4.8
Tellurium,2023,0.3,3.8
Tin,2023,0.9,4.5
Titanium,2023,0.5,5.4
Titanium metal,2023,1.6,6.3
Tungsten,2023,1.2,8.7
Vanadium,2023,2.3,3.9
Xenon,2023,0.8,3.1
Zinc,2023,0.2,4.8
Zirconium,2023,0.8,3.5
