Material,Stage,Country,Share,t
Fluorspar,E,Afghanistan,0.4%,1.0
Gypsum,E,Afghanistan,<0.1%,1.0
Hydrogen,E,Afghanistan,<0.1%,1.0
Chromium,E,Albania,1.5%,1.0
Chromium,P,Albania,0.5%,1.0
Copper,E,Albania,<0.1%,1.0
Gypsum,E,Albania,0.1%,1.0
Hydrogen,E,Albania,<0.1%,1.0
Iron ore,P,Albania,<0.1%,1.0
Nickel,E,Albania,0.2%,1.0
Barytes,E,Algeria,0.4%,1.0
Bentonite,E,Algeria,0.2%,1.0
Diatomite,E,Algeria,0.1%,1.0
Feldspar,E,Algeria,0.5%,1.0
Gold,E,Algeria,<0.1%,1.0
Gypsum,E,Algeria,1.5%,1.0
Helium,P,Algeria,8.3%,1.0
Hydrogen,E,Algeria,2.4%,1.0
Iron ore,E,Algeria,<0.1%,1.0
Iron ore,P,Algeria,0.1%,1.0
Lead,P,Algeria,0.1%,1.0
Natural cork,E,Algeria,5.1%,1.0
Phosphate Rock,E,Algeria,0.6%,1.0
Silica sand,E,Algeria,<0.1%,1.0
Sulphur,P,Algeria,<0.1%,1.0
Zinc,E,Algeria,<0.1%,1.0
Zinc,P,Algeria,<0.1%,1.0
Gypsum,E,Angola,0.1%,1.0
Hydrogen,E,Angola,0.1%,1.0
Sapele wood,E,Angola,0.2%,1.0
Silica sand,E,Angola,<0.1%,1.0
Aluminium,P,Argentina,1.2%,1.0
Antimony,P,Argentina,<0.1%,1.0
Barytes,E,Argentina,0.1%,1.0
Bentonite,E,Argentina,0.7%,1.0
Borate,E,Argentina,3.2%,1.0
Borate,P,Argentina,3.0%,1.0
Cadmium,P,Argentina,0.3%,1.0
Copper,E,Argentina,0.1%,1.1
Copper,P,Argentina,0.1%,1.0
Diatomite,E,Argentina,3.6%,1.0
Feldspar,E,Argentina,0.3%,1.0
Fluorspar,E,Argentina,0.3%,1.0
Gold,E,Argentina,1.6%,1.0
Gypsum,E,Argentina,0.6%,1.0
Hydrogen,E,Argentina,1.1%,1.0
Iron ore,E,Argentina,<0.1%,1.0
Iron ore,P,Argentina,0.3%,1.0
Kaolin,E,Argentina,1.1%,1.0
Kaolin,P,Argentina,0.1%,1.0
Lead,E,Argentina,0.7%,1.0
Lead,P,Argentina,0.3%,1.0
Lithium,E,Argentina,7.9%,1.1
Lithium,P,Argentina,10.5%,1.1
Manganese,P,Argentina,<0.1%,1.0
Molybdenum,E,Argentina,0.1%,1.0
Perlite,E,Argentina,0.4%,1.0
Roundwood,E,Argentina,1%,1.0
Silica sand,E,Argentina,0.9%,1.0
Silver,E,Argentina,3.6%,1.0
Strontium,E,Argentina,0.7%,1.0
Talc,E,Argentina,0.2%,1.0
Zinc,E,Argentina,0.2%,1.0
Bentonite,E,Armenia,<0.1%,1.0
Copper,E,Armenia,0.4%,1.0
Diatomite,E,Armenia,0.4%,1.0
Gold,E,Armenia,0.2%,1.0
Gypsum,E,Armenia,<0.1%,1.0
Molybdenum,E,Armenia,2.6%,1.0
Perlite,E,Armenia,<0.1%,1.0
Rhenium,P,Armenia,0.6%,1.0
Selenium,P,Armenia,0.0%,1.0
Silver,E,Armenia,0.1%,1.0
Sulphur,P,Armenia,<0.1%,1.0
Zinc,E,Armenia,0.1%,1.0
Aluminium,E,Australia,28.4%,1.0
Aluminium,P,Australia,2.5%,1.0
Antimony,E,Australia,2.2%,1.0
Antimony,P,Australia,<0.1%,1.0
Barytes,E,Australia,0.1%,1.0
Bentonite,E,Australia,0.3%,1.0
Cerium,E,Australia,9.9%,1.0
Cerium,P,Australia,0.1%,1.0
Cobalt,E,Australia,3.9%,1.0
Cobalt,P,Australia,2.7%,1.0
Coking coal,E,Australia,18.2%,1.0
Coking coal,P,Australia,0.4%,1.0
Copper,E,Australia,4.4%,1.0
Copper,P,Australia,1.7%,1.0
Diatomite,E,Australia,<0.1%,1.0
Erbium,E,Australia,9.9%,1.0
Europium,E,Australia,9.9%,1.0
Feldspar,E,Australia,<0.1%,1.0
Gadolinium,E,Australia,9.9%,1.0
Gold,E,Australia,9.4%,1.0
Gypsum,E,Australia,2.4%,1.0
Helium,P,Australia,2.5%,1.0
Holmium,E,Australia,9.9%,1.0
Hydrogen,E,Australia,3.4%,1.0
Iron ore,E,Australia,36.6%,1.0
Iron ore,P,Australia,0.3%,1.0
Lanthanum,E,Australia,9.9%,1.0
Lanthanum,P,Australia,0.1%,1.0
Lead,E,Australia,9.8%,1.0
Lead,P,Australia,1.5%,1.0
Lithium,E,Australia,53.0%,1.0
Lutetium,E,Australia,9.9%,1.0
Magnesite,E,Australia,1.5%,1.0
Manganese,E,Australia,16.3%,1.0
Manganese,P,Australia,1.2%,1.0
Neodymium,E,Australia,9.9%,1.0
Neodymium,P,Australia,0.1%,1.0
Nickel,E,Australia,7.5%,1.0
Nickel,P,Australia,5.3%,1.0
Palladium,P,Australia,0.2%,1.0
Perlite,E,Australia,<0.1%,1.0
Phosphate Rock,E,Australia,0.3%,1.0
Platinum,P,Australia,0.1%,1.0
Praseodymium,E,Australia,9.9%,1.0
Praseodymium,P,Australia,0.1%,1.0
Roundwood,E,Australia,1%,1.0
Samarium,E,Australia,9.9%,1.0
Samarium,P,Australia,0.1%,1.0
Silica sand,E,Australia,1.3%,1.0
Silver,E,Australia,4.7%,1.0
Sulphur,P,Australia,1.1%,1.0
Talc,E,Australia,1.9%,1.0
Tantalum,E,Australia,2.1%,1.0
Thulium,E,Australia,9.9%,1.0
Tin,E,Australia,2.5%,1.0
Tin,P,Australia,<0.1%,1.0
Titanium,E,Australia,12.1%,1.0
Titanium,P,Australia,2.6%,1.0
Titanium metal,E,Australia,12.1%,1.0
Tungsten,E,Australia,0.1%,1.0
Ytterbium,E,Australia,9.9%,1.0
Yttrium,E,Australia,9.9%,1.0
Zinc,E,Australia,9.1%,1.0
Zinc,P,Australia,3.4%,1.0
Zirconium,E,Australia,33.6%,1.0
Antimony,P,Austria,0.1%,0.8
Coking coal,P,Austria,0.2%,0.8
Copper,P,Austria,0.5%,0.8
Feldspar,E,Austria,0.1%,0.8
Gypsum,E,Austria,0.5%,0.8
Hydrogen,E,Austria,<0.1%,0.8
Iron ore,E,Austria,0.1%,0.8
Iron ore,P,Austria,0.4%,0.8
Kaolin,P,Austria,<0.1%,0.8
Lead,P,Austria,0.2%,0.8
Limestone,E,Austria,2.5%,0.8
Magnesite,E,Austria,2.6%,0.8
Manganese,P,Austria,<0.1%,0.8
Natural Graphite,E,Austria,<0.1%,0.8
Nickel,P,Austria,<0.1%,0.8
Roundwood,E,Austria,1%,0.8
Silica sand,E,Austria,0.6%,0.8
Sulphur,P,Austria,<0.1%,0.8
Talc,E,Austria,1.7%,0.8
Tungsten,E,Austria,1.1%,0.8
Tungsten,P,Austria,2.3%,0.8
Aluminium,P,Azerbaijan,0.1%,1.0
Bentonite,E,Azerbaijan,0.8%,1.0
Copper,E,Azerbaijan,<0.1%,1.0
Gold,E,Azerbaijan,0.1%,1.0
Gypsum,E,Azerbaijan,0.1%,1.0
Hydrogen,E,Azerbaijan,0.6%,1.0
Iron ore,E,Azerbaijan,<0.1%,1.0
Iron ore,P,Azerbaijan,<0.1%,1.0
Silver,E,Azerbaijan,<0.1%,1.0
Aluminium,P,Bahrain,1.9%,1.0
Hydrogen,E,Bahrain,0.4%,1.0
Manganese,P,Bahrain,<0.1%,1.0
Sulphur,P,Bahrain,0.2%,1.0
Hydrogen,E,Bangladesh,0.7%,1.0
Natural rubber,E,Bangladesh,0.2%,1.0
Hydrogen,E,Barbados,<0.1%,1.0
Hydrogen,E,Belarus,<0.1%,1.0
Iron ore,P,Belarus,0.1%,1.0
Potash,E,Belarus,16.8%,1.1
Roundwood,E,Belarus,1%,1.0
Antimony,P,Belgium,8.6%,0.8
Arsenic,P,Belgium,1.8%,0.8
Bismuth,P,Belgium,4%,0.8
Cobalt,P,Belgium,5.3%,0.8
Coking coal,P,Belgium,0.2%,0.8
Copper,P,Belgium,1.5%,0.8
Germanium,P,Belgium,4.5%,0.8
Indium,P,Belgium,2.4%,0.8
Iron ore,P,Belgium,0.4%,0.8
Lead,P,Belgium,1.1%,0.8
Limestone,E,Belgium,0.2%,0.8
Manganese,P,Belgium,<0.1%,0.8
Selenium,P,Belgium,5.4%,0.8
Tellurium,P,Belgium,5%,0.8
Tin,P,Belgium,2.5%,0.8
Titanium,P,Belgium,0.4%,0.8
Zinc,P,Belgium,1.9%,0.8
Gypsum,E,Bhutan,0.2%,1.0
Iron ore,E,Bhutan,<0.1%,1.0
Talc,E,Bhutan,<0.1%,1.0
Antimony,E,Bolivia,2.0%,1.1
Antimony,P,Bolivia,2.2%,1.1
Arsenic,P,Bolivia,0.2%,1.0
Barytes,E,Bolivia,0.3%,1.0
Bentonite,E,Bolivia,<0.1%,1.0
Bismuth,P,Bolivia,<0.1%,1.0
Borate,E,Bolivia,5.2%,1.0
Borate,P,Bolivia,4.9%,1.0
Copper,E,Bolivia,<0.1%,1.0
Copper,P,Bolivia,<0.1%,1.0
Gold,E,Bolivia,0.9%,1.0
Gypsum,E,Bolivia,<0.1%,1.0
Hydrogen,E,Bolivia,0.5%,1.0
Iron ore,E,Bolivia,<0.1%,1.0
Lead,E,Bolivia,2.0%,1.0
Lead,P,Bolivia,<0.1%,1.0
Lithium,E,Bolivia,<0.1%,1.0
Manganese,E,Bolivia,<0.1%,1.0
Natural rubber,E,Bolivia,<0.1%,1.0
Potash,E,Bolivia,<0.1%,1.0
Silver,E,Bolivia,4.3%,1.1
Tantalum,E,Bolivia,0.4%,1.0
Tin,E,Bolivia,5.7%,1.1
Tin,P,Bolivia,4.1%,1.1
Tungsten,E,Bolivia,1.4%,1.1
Zinc,E,Bolivia,4.0%,1.0
Aluminium,E,Bosnia and Herzegovina,0.2%,1.0
Aluminium,P,Bosnia and Herzegovina,0.1%,1.0
Bentonite,E,Bosnia and Herzegovina,0.4%,1.0
Coking coal,P,Bosnia and Herzegovina,0.1%,1.0
Gypsum,E,Bosnia and Herzegovina,0.1%,1.0
Iron ore,E,Bosnia and Herzegovina,0.1%,1.0
Iron ore,P,Bosnia and Herzegovina,<0.1%,1.0
Lead,E,Bosnia and Herzegovina,0.1%,1.0
Lead,P,Bosnia and Herzegovina,<0.1%,1.0
Limestone,E,Bosnia and Herzegovina,0.4%,1.0
Magnesite,E,Bosnia and Herzegovina,<0.1%,1.0
Manganese,E,Bosnia and Herzegovina,<0.1%,1.0
Silica sand,E,Bosnia and Herzegovina,<0.1%,1.0
Silicon metal,P,Bosnia and Herzegovina,0.9%,1.0
Zinc,E,Bosnia and Herzegovina,0.1%,1.0
Cobalt,E,Botswana,<0.1%,1.0
Copper,E,Botswana,<0.1%,1.0
Gold,E,Botswana,<0.1%,1.0
Nickel,E,Botswana,0.1%,1.0
Roundwood,E,Brasilia,7%,1.0
Aluminium,E,Brazil,10.4%,1.0
Aluminium,P,Brazil,1.1%,1.0
Antimony,P,Brazil,<0.1%,1.0
Barytes,E,Brazil,0.1%,1.0
Bentonite,E,Brazil,2.1%,1.0
Beryllium,E,Brazil,1.5%,1.0
Cadmium,P,Brazil,0.9%,1.0
Cerium,E,Brazil,0.8%,1.0
Chromium,E,Brazil,1.5%,1.0
Chromium,P,Brazil,1.2%,1.0
Cobalt,E,Brazil,0.2%,1.0
Cobalt,P,Brazil,0.1%,1.0
Copper,E,Brazil,1.8%,1.0
Copper,P,Brazil,0.7%,1.0
Diatomite,E,Brazil,1.1%,1.0
Dysprosium,E,Brazil,1.0%,1.0
Erbium,E,Brazil,0.8%,1.0
Europium,E,Brazil,0.8%,1.0
Feldspar,E,Brazil,1.6%,1.0
Fluorspar,E,Brazil,0.2%,1.0
Gadolinium,E,Brazil,0.8%,1.0
Gold,E,Brazil,2.7%,1.0
Gypsum,E,Brazil,1.9%,1.0
Holmium,E,Brazil,0.8%,1.0
Hydrogen,E,Brazil,0.7%,1.0
Indium,P,Brazil,0.2%,1.0
Iron ore,E,Brazil,17.8%,1.0
Iron ore,P,Brazil,1.9%,1.0
Kaolin,E,Brazil,<0.1%,1.0
Kaolin,P,Brazil,9.3%,1.0
Lanthanum,E,Brazil,0.8%,1.0
Lead,E,Brazil,0.2%,1.0
Lead,P,Brazil,2.0%,1.0
Lithium,E,Brazil,0.9%,1.0
Lutetium,E,Brazil,0.8%,1.0
Magnesite,E,Brazil,6.4%,1.0
Magnesium,P,Brazil,1.8%,1.0
Manganese,E,Brazil,6.1%,1.0
Manganese,P,Brazil,1.6%,1.0
Natural Graphite,E,Brazil,7.5%,1.0
Natural rubber,E,Brazil,1.4%,1.0
Neodymium,E,Brazil,0.8%,1.0
Nickel,E,Brazil,3.0%,1.0
Nickel,P,Brazil,3.0%,1.0
Niobium,E,Brazil,91.8%,1.0
Niobium,P,Brazil,88.8%,1.0
Phosphate Rock,E,Brazil,2.6%,1.0
Potash,E,Brazil,0.7%,1.0
Praseodymium,E,Brazil,0.8%,1.0
Samarium,E,Brazil,0.8%,1.0
Sapele wood,E,Brazil,0.2%,1.0
Silicon metal,P,Brazil,7.2%,1.0
Silver,E,Brazil,0.2%,1.0
Sulphur,P,Brazil,0.6%,1.0
Talc,E,Brazil,9.6%,1.0
Tantalum,E,Brazil,15.9%,1.0
Terbium,E,Brazil,1.0%,1.0
Thulium,E,Brazil,0.8%,1.0
Tin,E,Brazil,5.4%,1.0
Tin,P,Brazil,4.5%,1.0
Titanium,E,Brazil,0.9%,1.0
Titanium metal,E,Brazil,0.9%,1.0
Tungsten,E,Brazil,0.4%,1.0
Vanadium,E,Brazil,7.6%,1.0
Vanadium,P,Brazil,4.8%,1.0
Ytterbium,E,Brazil,0.8%,1.0
Yttrium,E,Brazil,0.8%,1.0
Zinc,E,Brazil,1.4%,1.0
Zinc,P,Brazil,1.9%,1.0
Zirconium,E,Brazil,1.2%,1.0
Hydrogen,E,Brunei Darussalam,0.3%,1.0
Natural rubber,E,Brunei Darussalam,<0.1%,1.0
Antimony,P,Bulgaria,<0.1%,0.8
Barytes,E,Bulgaria,0.7%,0.8
Bentonite,E,Bulgaria,0.2%,0.8
Cadmium,P,Bulgaria,1.3%,0.8
Copper,E,Bulgaria,0.5%,0.8
Copper,P,Bulgaria,0.9%,0.8
Fluorspar,E,Bulgaria,<0.1%,0.8
Gold,E,Bulgaria,0.3%,0.8
Gypsum,E,Bulgaria,0.1%,0.8
Hydrogen,E,Bulgaria,<0.1%,0.8
Iron ore,P,Bulgaria,<0.1%,0.8
Kaolin,P,Bulgaria,<0.1%,0.8
Lead,E,Bulgaria,0.4%,0.8
Lead,P,Bulgaria,0.9%,0.8
Limestone,E,Bulgaria,1.0%,0.8
Manganese,E,Bulgaria,<0.1%,0.8
Perlite,E,Bulgaria,0.1%,0.8
Silica sand,E,Bulgaria,3.3%,0.8
Silver,E,Bulgaria,0.2%,0.8
Sulphur,P,Bulgaria,0.6%,0.8
Tellurium,P,Bulgaria,0.4%,0.8
Zinc,E,Bulgaria,0.1%,0.8
Zinc,P,Bulgaria,0.6%,0.8
Gold,E,Burkina Faso,1.5%,1.0
Silver,E,Burkina Faso,<0.1%,1.0
Zinc,E,Burkina Faso,0.7%,1.0
Cerium,E,Burundi,0.1%,1.0
Dysprosium,E,Burundi,0.2%,1.0
Erbium,E,Burundi,0.1%,1.0
Europium,E,Burundi,0.1%,1.0
Gadolinium,E,Burundi,0.1%,1.0
Gold,E,Burundi,<0.1%,1.0
Holmium,E,Burundi,0.1%,1.0
Lanthanum,E,Burundi,0.1%,1.0
Lutetium,E,Burundi,0.1%,1.0
Neodymium,E,Burundi,0.1%,1.0
Niobium,E,Burundi,<0.1%,1.0
Praseodymium,E,Burundi,0.1%,1.0
