Material,Application,Share,NACE sector,VA in million €
Aggregates,Construction and infrastructures,100%,C23 - Manufacture of other non-metallic mineral products,64990
Aluminium,Abrasives,2%,C23 - Manufacture of other non-metallic mineral products,64990
Aluminium,Cement,3%,C23 - Manufacture of other non-metallic mineral products,64990
Aluminium,Refractories,3%,C23 - Manufacture of other non-metallic mineral products,64990
Aluminium,Construction,21%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Aluminium,Consumer durables,5%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Aluminium,Packaging,15%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Aluminium,High tech engineering,11%,C28 - Manufacture of machinery and equipment n.e.c.,204200
Aluminium,Automotive industry,19%,"C29 - Manufacture of motor
vehicles, trailers and semi-trailers",194448
Aluminium,Transport equipment,19%,C30 - Manufacture of other transport equipment,55777
Antimony,Flame retardants,43%,C20 - Manufacture of chemicals and chemical products,132361
Antimony,Plastics (catalysts and stabilisers),6%,C20 - Manufacture of chemicals and chemical products,132361
Antimony,Glass and ceramics,5%,C23 - Manufacture of other non-metallic mineral products,64990
Antimony,Lead alloys,14%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Antimony,Lead-acid batteries,32%,C27 - Manufacture of electrical equipment,89422
Arsenic,Chemicals,7%,C20 - Manufacture of chemicals and chemical products,132361
Arsenic,Glassmaking,18%,C23 - Manufacture of other non-metallic mineral products,64990
Arsenic,Alloys,5%,C24 - Manufacture of basic metals,64561
Arsenic,Zinc production (Electrowinning of zinc),69%,C24 - Manufacture of basic metals,64561
Arsenic,Electronics,1%,"C26 - Manufacture of computer, electronic and optical products",77000
Barytes,Chemical industry,5%,C20 - Manufacture of chemicals and chemical products,132361
Barytes,"Filler in rubbers, plastics, paints & paper",70%,C22 - Manufacture of rubber and plastic products,86487
Barytes,Weighting agent in oil and gas well drilling fluids,20%,C23 - Manufacture of other non-metallic mineral products,64990
Barytes,Radioactive radiation absorber,5%,C32 - Other manufacturing,45912
Beryllium,Semiconductor,1%,C24 - Manufacture of basic metals,64561
Beryllium,Consumer Electronics,12%,"C26 - Manufacture of computer, electronic and optical products",77000
Beryllium,Energy,5%,"C26 - Manufacture of computer, electronic and optical products",77000
Beryllium,Telecommunication Infrastructure,11%,"C26 - Manufacture of computer, electronic and optical products",77000
Beryllium,Industrial Components,23%,C28 - Manufacture of machinery and equipment n.e.c.,204200
Beryllium,Automotive,17%,"C29 - Manufacture of motor
vehicles, trailers and semi-trailers",194448
Beryllium,Aerospace and Defence,17%,C30 - Manufacture of other transport equipment,55777
Beryllium,Other,14%,,
Bismuth,Chemicals,84%,C20 - Manufacture of chemicals and chemical products,132361
Bismuth,Low-melting alloys,9%,C24 - Manufacture of basic metals,64561
Bismuth,Metallurgical additives,7%,C24 - Manufacture of basic metals,64561
Borate,Chemical manufacture,4%,C20 - Manufacture of chemicals and chemical products,132361
Borate,"Construction materials (flame retardants, plasters, wood preservatives)",4%,C20 - Manufacture of chemicals and chemical products,132361
Borate,Fertilizers,15%,C20 - Manufacture of chemicals and chemical products,132361
Borate,Frits and ceramics,17%,C23 - Manufacture of other non-metallic mineral products,64990
Borate,Glass,55%,C23 - Manufacture of other non-metallic mineral products,64990
Borate,Metals,4%,C24 - Manufacture of basic metals,64561
Borate,Magnets,0%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Borate,Semiconductors,0%,"C26 - Manufacture of computer, electronic and optical products",77000
Cadmium,Alloys,5%,C24 - Manufacture of basic metals,64561
Cadmium,Coatings,3%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Cadmium,Solar Application,1%,"C26 - Manufacture of computer, electronic and optical products",77000
Cadmium,Batteries,91%,C27 - Manufacture of electrical equipment,89422
Cerium,Fluid cracking catalysts,4%,C19 - Manufacture of coke and refined petroleum products,28295
Cerium,Autocatalysts,60%,C20 - Manufacture of chemicals and chemical products,132361
Cerium,Glass & ceramics,12%,C23 - Manufacture of other non-metallic mineral products,64990
Cerium,Polishing powders,20%,C23 - Manufacture of other non-metallic mineral products,64990
Cerium,Metal (excl. Batteries),2%,C24 - Manufacture of basic metals,64561
Cerium,Batteries,2%,C27 - Manufacture of electrical equipment,89422
Chromium,chromium chemicals,3%,C20 - Manufacture of chemicals and chemical products,132361
Chromium,Refractory bricks and mortars,1%,C23 - Manufacture of other non-metallic mineral products,64990
Chromium,Casting moulds,3%,C24 - Manufacture of basic metals,64561
Chromium,Products made of alloy steel,19%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Chromium,stainless steel,74%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Cobalt,Catalysts,12%,C20 - Manufacture of chemicals and chemical products,132361
Cobalt,Pigments and inks,13%,C20 - Manufacture of chemicals and chemical products,132361
Cobalt,Tyre adhesives and paint dryers,11%,C20 - Manufacture of chemicals and chemical products,132361
Cobalt,Hard materials (carbides and diamond tools),14%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Cobalt,Magnets,7%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Cobalt,"Superalloys, hardfacing/HSS and other alloys",36%,"C25 - Manufacture of fabricated metal products, except machinery and equipment",163568
Cobalt,Batteries,3%,C27 - Manufacture of electrical equipment,89422
Cobalt,Other,6%,,
Coking coal,Industrial energy use (other than Iron and steel),3%,C19 - Manufacture of coke and refined petroleum products,28295
Coking coal,Non-industrial energy use,1%,C19 - Manufacture of coke and refined petroleum products,28295
Coking coal,Chemicals,1%,C20 - Manufacture of chemicals and chemical products,132361
Coking coal,Iron and steel (coke in blast furnace),89%,C24 - Manufacture of basic metals,64561
Coking coal,Iron and steel (other uses),6%,C24 - Manufacture of basic metals,64561
Copper,"Manufacture, other, electronic",2%,"C26 - Manufacture of computer, electronic and optical products",77000
Copper,"Building construction, Communications",1%,C27 - Manufacture of electrical equipment,89422
Copper,"Building construction, Electrical power",21%,C27 - Manufacture of electrical equipment,89422
Copper,"Infrastructure, Power utility",7%,C27 - Manufacture of electrical equipment,89422
Copper,"Infrastructure, Telecommunications",3%,C27 - Manufacture of electrical equipment,89422
Copper,"Manufacture, Industrial, Electrical",6%,C27 - Manufacture of electrical equipment,89422
Copper,"Building construction, Architecture",2%,C28 - Manufacture of machinery and equipment n.e.c.,204200
Copper,"Building construction, plumbing",10%,C28 - Manufacture of machinery and equipment n.e.c.,204200
Copper,"Manufacture, other, cooling",3%,C28 - Manufacture of machinery and equipment n.e.c.,204200
